categoy,Sub Category,name,ref,barcode,cost,vendor,public_price,Size_H,Size_W,Color,Gender
accessoires,91023010,938010 lungo vernice pelle ecologico,53984,4589000098363,7,COM12639,"21,95",XS,43,Black,Woman
rok,91044900,c00284 21003 c00318 stritto gabardine cint ampla poliest viscosa elast,55413,4589000178461,"19,99",COM15602,"59,95",S,37,Bluenavy,Man
accessoires,91044900,yf1725 94006 dikke tricot ponpons poliester,59504,4589000402306,5,COM12639,"22,95",XXL,42,Brown,Woman
pantalon,91106310,c00469 32003 2247421 crepe amazone poliester elastane,60227,4589000437360,"29,99",COM20695,"89,95",L,42,beige,Man
pantalon,91106310,c00470 06003 2252422 wijde pijp omslag poliester katoen elastane,60307,4589000440858,"28,99",COM7663,"88,95",L,42,beige,Man
pantalon,91106310,c00463 05003 2074399 crepe rever geen taille poliester,60377,4589000445525,"31,99",COM23594,"97,95",XL,43,beige,Woman
T-shirt,91044900,rb0129 swarovski you sexy thing frib katoen elastane ,60770,4589000478592,18,COM25801,"49,95",XL,38,Blue White,Woman
kraag,42171000,geslepen bollen op vilt,61885,4589000531334,6,COM7778,"22,95",XL,40,turq White,Woman
pantalon,91023010,c00567 79003 techno slim fit fijn centuur katoen poliester elastane,62399,4589000569207,"25,99",COM12268,"79,95",XL,40,Black,Woman
pantalon,91046310,c00568 03003 overslag buik slim fit zijzak poliester viscose elastane,62403,4589000569641,"19,99",COM18683,"59,95",XL,43,Grey donker,Man
vest,91081100,c00581 56003 boord kant colbert gepunt poliester viscose nylon elastan,62567,4589000578971,"41,99",COM23750,"129,95",S,31,Grey Black,Woman
hoed muts ,91109090,v00076 53003 bonet net voile wol,62959,4589000600306,"18,99",COM15602,"57,95",S,41,Black,Man
riem,650310,v00073 76003 breed voorstuk binder krakele echt leder,63147,4589000607206,"14,99",COM12639,"45,95",XXL,40,Black,Man
rok,91106310,c00599 95003 tube fijne centuur tailleband 4.5 cm katoen poliammide el,63356,4589000625538,"23,49",COM20695,"69,95",M,39,Black,Woman
Jacket,91091000,c00600 82003 open appel borst strook net in onderrok tube ,63479,4589000622353,"29,99",COM7663,"89,95",XXL,43,beige,Woman
Jacket,91091000,c00600 82003 open appel borst strook net in onderrok tube ,63479,4589000622360,"29,99",COM23594,"89,95",S,37,beige,Woman
Jacket,91091000,c00600 82003 open appel borst strook net in onderrok tube ,63479,4589000622384,"29,99",COM25801,"89,95",XL,42,Pink,Woman
Jacket,91091000,c00600 82003 open appel borst strook net in onderrok tube ,63479,4589000622391,"29,99",COM7778,"89,95",XL,42,Pink,Woman
Blouse,91044900,c00608 19003 opstaande kraag 3 plooien kapmouw popeline ,63501,4589000676981,"15,99",COM12268,"49,95",XXL,XL, Red,Man
rok,91106310,c00114 77003 inzetstuk ingeweven motief en kant duikersstof ,63543,4589000626931,"19,99",COM18683,"59,95",M,39,beige,Woman
Jacket,42144589,c00603 06003 grote bloem klokrok crepe buste+taille boord satijn,63546,4589000627181,"47,99",COM23750,"146,95",S,31,Pink Black,Man
Jacket,91044900,c00606 18003 netstof buste plisse 3*zoom tailleketting+bloemen,63551,4589000644409,"49,99",COM15602,"149,95",XXL,42,Black,Man
Jacket,91044900,29z bloem schouder+boord onder netstof tailleband wafelsteek,63559,4589000627846,"29,5",COM12639,"89,95",S,37,White Black,Man
Jacket,91044900,29z bloem schouder+boord onder netstof tailleband wafelsteek,63559,4589000627860,"29,5",COM20695,"89,95",XS,41,White Black,Woman
sjaal,42171000,s110243 zijde tulle 1m70 op 1m,63732,4589000637487,6,COM7663,"22,95",S,37,Blueindigo,Man
schoen,84011900,7316 capretto open teen halfhoge brede hak 3 brede banden zijrits,63735,4589000639634,59,COM23594,"169,95",XL,39,vison,Man
schoen,84011900,7316 capretto open teen halfhoge brede hak 3 brede banden zijrits,63735,4589000639641,59,COM25801,"169,95",M,38,vison,Man
schoen,84011900,7316 capretto open teen halfhoge brede hak 3 brede banden zijrits,63735,4589000639665,59,COM7778,"169,95",XS,37,vison,Man
schoen,91044900,2854 raso stiletto open teen fijne hoge hak stof,63737,4589000639603,33,COM12268,"89,95",S,38,beigelicht,Woman
schoen,84031900,1020 open wreef halfhoge brede hak echt leder buiten zool binnen,63814,4589000643174,43,COM18683,"119,95",M,37,beige,Woman
pantalon,91044900,c00117 55002 afgewassen lichte trompet lage taille vooraan 2 steekzak,63905,4589000650011,"33,99",COM23750,"103,95",XXXL,37,Pink,Man
pantalon,91044900,c00117 55002 afgewassen lichte trompet lage taille vooraan 2 steekzak,63905,4589000650028,"33,99",COM12268,"103,95",XL,40,Pink,Man
pantalon,91106310,c00596 77003 5 pocket voorgewassen 4 jeansknopen normale taille,63907,4589000650110,"30,99",COM18683,"94,95",M,31,Pink,Man
Jacket,91044900,c00617 80003 crepe plisse+bloem buste sluier,63931,4589000679449,"29,99",COM23750,"89,95",M,37,Pink,Woman
schoen,91044900,8023 fijne talon brede band over wreef enkelbinder talon 8.5 cm,63966,4589000654286,23,COM15602,"64,95",L,42, Red,Man
Jacket,91044900,c00622 65003 tulle grote bloem knoop taille gesluierde rug,64039,4589000658277,"49,99",COM12639,"149,95",XXL,40,White ,Woman
